bucket,n,churn_rate,lift
상위 1%,149,73.8,2.87
상위 5%,749,63.3,2.46
상위 10%,1498,58.3,2.27
상위 20%,2997,51.5,2.0
상위 30%,4496,46.0,1.79
상위 50%,7493,38.8,1.51
전체 평균,14987,25.7,1.0
하위 10%,1498,3.7,0.14
